#gottowik@astro9:/common/scrd/gottowik/offline/trunk/Framework/SDetector$ grep -B7 "    <inGrid> 1 </inGrid>" SStationList.xml.in | grep -E 'northing|easting|id=' > ~/blabla.txt

 911 6100934.05  502374.8 
 912 6112637.48  459633.5 
 913 6100922.76  499377.83 
 914 6112627.38  458120.5 
 915 6119120.59  457377.15 
 916 6111327.58  460366.6 
 917 6124297.74  451364.73 
 918 6113934.83  455863.99 
 919 6117832.33  456635.19 
 920 6113920.55  457376.01 
 921 6119132.99  455894.7 
 922 6123039.66  467124.59 
 923 6120429.24  456625.47 
 924 6120447.56  449121.12 
 925 6119125.49  458884.59 
 926 6123044.7  450619.33 
 927 6123028.09  464121.64 
 928 6120420.11  462622.66 
 929 6121737.95  449892.33 
 930 6117876.73  447701.55 
 931 6120419.83  458127.13 
 932 6119131.24  448397.02 
 933 6123058.34  465597.24 
 934 6119125.01  463376.49 
 935 6119121.55  460380.66 
 936 6119132.58  461881.72 
 937 6128215.12  465606.9 
 938 6102220.8  446131.5 
 939 6100940.64  446865.55 
 940 6102238.36  444635.95 
 941 6100935.97  445387.85 
 942 6093134.06  449874.89 
 943 6100938.48  443867.64 
 944 6100938.72  442381.12 
 945 6100938.19  440879.89 
 946 6121731.01  463368.9 
 947 6121730.44  461871.13 
 948 6102247.56  441618.98 
 949 6102225.83  443126.1 
 950 6121721.62  460368.19 
 951 6091832.85  450623.78 
 952 6090562.31  448380.32 
 953 6121736.49  464878.94 
 954 6099639.51  443127.57 
 955 6120423.48  459637.48 
 956 6102224.59  440133.3 
 957 6120419.34  461114.84 
 958 6091840.2  449129.31 
 959 6119122.02  464875.15 
 960 6090556.78  446866.62 
 961 6120427.62  464116.38 
 962 6129516.89  466367.41 
 963 6121723.43  454394.12 
 964 6107435.85  495625.15 
 965 6121708.4  455869.91 
 966 6129505.07  467863.94 
 967 6094437.16  450619.87 
 968 6129519.58  469373.03 
 969 6128217.93  467142.73 
 970 6093156.13  451376.05 
 971 6094452.11  452124.01 
 972 6099645.38  441620.59 
 973 6095734.14  451375.16 
 974 6128213.47  468620.83 
 975 6126913.34  470865.88 
 976 6125612.93  465643.1 
 977 6125612.75  464103.05 
 978 6091829.78  446109.31 
 979 6128216.06  464118.34 
 980 6091832.74  447629.48 
 981 6093153.16  448387.29 
 982 6125625.89  470120.91 
 983 6124341.32  466387.62 
 984 6128218.47  470117.88 
 985 6129498.7  464881.14 
 986 6125614.45  467135.58 
